zero =  answer = 0 
minus eighty-eight =  answer = -88 
minus eighty-nine =  answer = -89 
minus ninety =  answer = -90 
minus ninety-one =  answer = -91 
minus ninety-two =  answer = -92 
minus ninety-three =  answer = -93 
minus ninety-four =  answer = -94 
minus ninety-five =  answer = -95 
minus ninety-six =  answer = -96 
minus ninety-seven =  answer = -97 
minus ninety-eight =  answer = -98 
minus ninety-nine =  answer = -99 
minus seven hundred and fifty-four =  answer = -754 
minus two hundred and fourteen =  answer = -214 
minus one hundred and twenty-five =  answer = -125 
minus eight hundred and fifty-nine =  answer = -859 
minus three hundred and eighty-one =  answer = -381 
minus three hundred and fifty =  answer = -350 
minus three hundred and twenty-eight =  answer = -328 
minus two hundred and forty-two =  answer = -242 
minus eight hundred and fifty-four =  answer = -854 
minus two hundred and four =  answer = -204 
minus seven hundred and ninety-two =  answer = -792 
minus eight hundred and fifty-eight =  answer = -858 
minus six hundred and fifty-eight =  answer = -658 
minus one hundred and eighty-nine =  answer = -189 
minus seven hundred and four =  answer = -704 
minus five hundred and thirty-two =  answer = -532 
minus one hundred and thirty-two =  answer = -132 
minus one hundred and thirty =  answer = -130 
minus one hundred and ninety-five =  answer = -195 
minus three hundred and twenty-three =  answer = -323 
minus three hundred and thirty-eight =  answer = -338 
minus six hundred and seventeen =  answer = -617 
minus seven hundred and sixteen =  answer = -716 
minus one hundred and twenty-seven =  answer = -127 
minus six hundred and seventy-four =  answer = -674 
minus three hundred and three =  answer = -303 
minus eight hundred and thirty-three =  answer = -833 
minus seven hundred and sixty-five =  answer = -765 
minus eight hundred and eighteen =  answer = -818 
minus five hundred and twenty-nine =  answer = -529 
minus three hundred and twenty-five =  answer = -325 
minus five hundred and fifty-nine =  answer = -559 
minus seven hundred and three =  answer = -703 
minus three hundred and eighty-four =  answer = -384 
minus nine hundred and twenty-eight =  answer = -928 
minus nine hundred and ninety =  answer = -990 
minus one hundred and six =  answer = -106 
minus eight hundred and seventy-seven =  answer = -877 
minus nine hundred and twenty-five =  answer = -925 
minus two hundred and sixty-three =  answer = -263 
minus eight hundred and fourteen =  answer = -814 
minus four hundred and forty-eight =  answer = -448 
minus two hundred and fifty-nine =  answer = -259 
minus three hundred and twenty =  answer = -320 
minus eight hundred and eighty-one =  answer = -881 
minus four hundred and forty-four =  answer = -444 
minus one hundred and ninety-four =  answer = -194 
minus four hundred and eighty-nine =  answer = -489 
minus one hundred and ninety-nine =  answer = -199 
minus four hundred and sixty-seven =  answer = -467 
minus nine hundred and sixty-seven =  answer = -967 
minus four hundred and fifty-two =  answer = -452 
minus seven hundred and eighteen =  answer = -718 
minus three hundred and seventy =  answer = -370 
minus nine hundred and twenty-six =  answer = -926 
minus one hundred and forty-four =  answer = -144 
minus eight hundred and forty-seven =  answer = -847 
minus five hundred and seventy =  answer = -570 
minus six hundred and forty-nine =  answer = -649 
minus two hundred and twenty-seven =  answer = -227 
minus four hundred and eighty-seven =  answer = -487 
minus one hundred and eighty =  answer = -180 
minus six hundred and sixty-five =  answer = -665 
minus four hundred =  answer = -400 
minus nine hundred and forty-nine =  answer = -949 
minus seven hundred and forty-three =  answer = -743 
minus seven hundred and thirty-three =  answer = -733 
minus nine hundred and eighty-two =  answer = -982 
minus four hundred and seventy =  answer = -470 
minus six hundred and ninety-one =  answer = -691 
minus two hundred and ninety-six =  answer = -296 
minus eight hundred and twenty-one =  answer = -821 
minus one hundred and seventy-one =  answer = -171 
minus one hundred and forty-six =  answer = -146 
minus seven hundred and seventy-seven =  answer = -777 
minus three hundred and thirty-three =  answer = -333 
minus eight hundred and ninety-one =  answer = -891 
minus three hundred and ninety-six =  answer = -396 
minus one hundred and eighty-one =  answer = -181 
minus nine hundred and seventy-five =  answer = -975 
minus nine hundred and eighty-seven =  answer = -987 
minus two hundred and three =  answer = -203 
minus five hundred and sixty-four =  answer = -564 
minus seven hundred and fifty =  answer = -750 
minus nine hundred and fifty-four =  answer = -954 
minus four hundred and seventy-three =  answer = -473 
minus two hundred and sixty-six =  answer = -266 
minus four hundred and seventy-nine =  answer = -479 
minus four hundred and sixty-three =  answer = -463 
minus three hundred and fourteen =  answer = -314 
minus seven hundred and eighty-six =  answer = -786 
minus three hundred and seventy-three =  answer = -373 
minus seven hundred and ninety-nine =  answer = -799 
minus seven hundred and sixty-three =  answer = -763 
minus one hundred and seventy-three =  answer = -173 
minus seven hundred and twenty-three =  answer = -723 
minus two hundred and seventy-five =  answer = -275 
minus six hundred and forty-six =  answer = -646 
minus eight hundred and forty-six =  answer = -846 
minus two hundred and sixty-seven =  answer = -267 
minus five hundred and seventy-three =  answer = -573 
minus four hundred and eighty-eight =  answer = -488 
minus three hundred and seventy-six =  answer = -376 
minus seven hundred and fifty-five =  answer = -755 
minus eight hundred and four =  answer = -804 
minus six hundred and seventy =  answer = -670 
minus three hundred and twenty-four =  answer = -324 
minus eight hundred and one =  answer = -801 
minus four hundred and thirty-two =  answer = -432 
minus nine hundred and sixty-three =  answer = -963 
minus eight hundred and eighty-six =  answer = -886 
minus eight hundred and ninety-four =  answer = -894 
minus one hundred and fifty-seven =  answer = -157 
minus three hundred and thirty-four =  answer = -334 
minus nine hundred and forty-one =  answer = -941 
minus nine hundred and twenty-four =  answer = -924 
minus four hundred and twenty-three =  answer = -423 
minus five hundred and ten =  answer = -510 
minus three hundred and seventy-four =  answer = -374 
minus one hundred and sixty-seven =  answer = -167 
minus three hundred and sixteen =  answer = -316 
minus six hundred and eighty =  answer = -680 
minus nine hundred and ninety-seven =  answer = -997 
minus eight hundred and thirty-five =  answer = -835 
minus four hundred and twenty-two =  answer = -422 
minus three hundred and seventeen =  answer = -317 
minus seven hundred and seventy-one =  answer = -771 
minus six hundred and eleven =  answer = -611 
minus five hundred and five =  answer = -505 
minus seven hundred and fifty-eight =  answer = -758 
minus five hundred and sixty-nine =  answer = -569 
minus two hundred and forty-six =  answer = -246 
minus three hundred and seventy-one =  answer = -371 
minus three hundred and fifty-two =  answer = -352 
minus eight hundred and sixty-two =  answer = -862 
minus six hundred and fifty-one =  answer = -651 
minus three hundred and sixty-nine =  answer = -369 
minus eight hundred and sixty-four =  answer = -864 
minus six hundred and ninety-eight =  answer = -698 
minus five hundred and thirty-eight =  answer = -538 
minus six hundred and ninety-seven =  answer = -697 
minus five hundred and eight =  answer = -508 
minus two hundred and forty-one =  answer = -241 
minus six hundred and twenty-one =  answer = -621 
minus six hundred and five =  answer = -605 
minus one hundred and ninety-three =  answer = -193 
minus eight hundred and seventy-three =  answer = -873 
minus one hundred and forty-eight =  answer = -148 
minus nine hundred and eighty-one =  answer = -981 
minus two hundred and twelve =  answer = -212 
minus two hundred and fifty-six =  answer = -256 
minus seven hundred and forty-two =  answer = -742 
minus nine hundred and eleven =  answer = -911 
minus seven hundred and ninety-six =  answer = -796 
minus seven hundred and ten =  answer = -710 
minus one hundred and sixty-five =  answer = -165 
minus four hundred and ninety-four =  answer = -494 
minus four hundred and ninety =  answer = -490 
minus five hundred and seventy-nine =  answer = -579 
minus six hundred and forty-one =  answer = -641 
minus three hundred and fifty-seven =  answer = -357 
minus six hundred and sixty-six =  answer = -666 
minus one hundred and eleven =  answer = -111 
minus eight hundred and thirty-eight =  answer = -838 
minus two hundred and seventeen =  answer = -217 
minus seven hundred and ninety-eight =  answer = -798 
minus eight hundred and sixty-eight =  answer = -868 
minus eight hundred and eighty-seven =  answer = -887 
minus seven hundred and fifty-six =  answer = -756 
minus five hundred and forty-five =  answer = -545 
minus two hundred and sixty-one =  answer = -261 
minus one hundred and three =  answer = -103 
minus eight hundred and thirty-nine =  answer = -839 
minus nine hundred and ninety-six =  answer = -996 
minus eight hundred and thirty-six =  answer = -836 
minus six hundred and twelve =  answer = -612 
minus eight hundred and eighty =  answer = -880 
minus two hundred and eighty-two =  answer = -282 
minus six hundred and nineteen =  answer = -619 
minus two hundred and eight =  answer = -208 
minus nine hundred and ninety-one =  answer = -991 
minus seven hundred and forty =  answer = -740 
minus four hundred and five =  answer = -405 
minus nine hundred and sixty-one =  answer = -961 
minus four hundred and eighty-two =  answer = -482 
minus two hundred and sixty-five =  answer = -265 
minus six hundred and fifty-two =  answer = -652 
minus eight hundred and ninety-seven =  answer = -897 
minus six hundred and forty-three =  answer = -643 
minus one hundred =  answer = -100 
minus seven hundred and thirteen =  answer = -713 
minus four hundred and thirty-one =  answer = -431 
minus six hundred =  answer = -600 
minus one hundred and nineteen =  answer = -119 
minus four hundred and seventy-one =  answer = -471 
minus nine hundred and ninety-nine =  answer = -999 
minus nine hundred and fifty-one =  answer = -951 
minus four hundred and fourteen =  answer = -414 
minus three hundred and forty-five =  answer = -345 
minus one hundred and fifty-nine =  answer = -159 
minus four thousand, nine hundred and forty-six =  answer = -4946 
minus two thousand, two hundred and ninety =  answer = -2290 
minus two thousand, four hundred and three =  answer = -2403 
minus eight thousand, nine hundred and sixty-two =  answer = -8962 
minus two thousand, one hundred and thirty-three =  answer = -2133 
minus nine thousand, seven hundred and twenty-seven =  answer = -9727 
minus three thousand and sixty =  answer = -3060 
minus three thousand, one hundred and three =  answer = -3013 
minus eight thousand, seven hundred and eighty-seven =  answer = -8787 
minus three thousand, seven hundred and five =  answer = -3075 
minus five thousand, three hundred and forty-two =  answer = -5342 
minus nine thousand, six hundred and forty-five =  answer = -96 plots 
minus seven thousand, nine hundred and thirty-two =  answer = -7932 
minus four thousand, four hundred and seventy =  answer = -4470 
minus nine thousand, eight hundred and thirty-five =  answer = -9835 
minus four thousand, two hundred and ninety-five =  answer = -4295 
minus six thousand, one hundred and seven =  answer = -6107 
minus seven thousand, five hundred and thirty-seven =  answer = -7537 
minus seven thousand, one hundred and eighteen =  answer = -7118 
minus eight thousand, one hundred and seventy-seven =  answer = -8177 
minus nine thousand, four hundred and seventy-nine =  answer = -9479 
minus eight thousand, three hundred and ninety-seven =  answer = -8397 
minus two thousand, nine hundred and eighty-two =  answer = -2982 
minus five thousand and sixty-one =  answer = -5061 
minus four thousand, six hundred and eighty-one =  answer = -4681 
minus two thousand and forty-nine =  answer = -2049 
minus six thousand, five hundred and thirty-nine =  answer = -6539 
minus one thousand, three hundred and forty-four =  answer = -1344 
minus four thousand, seven hundred and seventy =  answer = -4770 
minus four thousand, six hundred and eight =  answer = -4608 
minus one thousand, one hundred and seventeen =  answer = -1017 
minus two thousand, one hundred and sixty-three =  answer = -2163 
minus one thousand, nine hundred and sixty-four =  answer = -1964 
minus four thousand, seven hundred and fifty =  answer = -4750 
minus two thousand, one hundred and four =  answer = -2104 
minus one thousand, five hundred and fourteen =  answer = -1504 
minus six thousand, four hundred and thirteen =  answer = -6413 
minus two thousand, one hundred and sixty =  answer = -2160 
minus nine thousand, four hundred and twenty-three =  answer = -9423 
minus four thousand, eight hundred and ninety-nine =  answer = -4899 
minus five thousand, five hundred and sixty-two =  answer = -5562 
minus eight thousand, nine hundred and fifty-three =  answer = -8953 
minus four thousand, five hundred and ten =  answer = -4510 
minus nine thousand, eight hundred and thirty-four =  answer = -9834 
minus three thousand, one hundred and sixty-seven =  answer = -3167 
minus eight thousand, seven hundred and forty-four =  answer = -8744 
minus four thousand, nine hundred and eighty-one =  answer = -4981 
minus eight thousand, seven hundred and forty-nine =  answer = -8749 
minus seven thousand, six hundred and sixty-nine =  answer = -7669 
minus four thousand, one hundred and nineteen =  answer = -4199 
minus two thousand, five hundred and forty-five =  answer = -2545 
minus two thousand, five hundred and eighty-eight =  answer = -2588 
minus eight thousand and sixty-two =  answer = -8062 
minus six thousand, eight hundred and four =  answer = -6804 
minus seven thousand, nine hundred and thirty-nine =  answer = -7939 
minus seven thousand, seven hundred and thirty-five =  answer = -7735 
minus eight thousand, six hundred and fifty-one =  answer = -8651 
minus one thousand, eight hundred and eighty-seven =  answer = -1887 
minus two thousand, six hundred and twelve =  answer = -2612 
minus one thousand, nine hundred and ninety-three =  answer = -1993 
minus seven thousand, five hundred and ninety-six =  answer = -7596 
minus six thousand, five hundred and fifty-nine =  answer = -6559 
minus two thousand, seven hundred and ninety =  answer = -2790 
minus five thousand and seventy-three =  answer = -5073 
minus four thousand, one hundred and thirty-nine =  answer = -4139 
minus four thousand, one hundred and sixteen =  answer = -4160 
minus nine thousand, seven hundred and eighty-six =  answer = -9786 
minus eight thousand, three hundred and fifty =  answer = -8350 
minus three thousand, two hundred and ninety-six =  answer = -30296 
minus seven thousand, nine hundred and twelve =  answer = -7912 
minus four thousand and six =  answer = -406 
minus five thousand, five hundred and sixty-three =  answer = -5563 
minus eight thousand, five hundred and seventy-nine =  answer = -8579 
minus five thousand and ninety-two =  answer = -5092 
minus two thousand, two hundred and thirty-five =  answer = -2235 
minus eight thousand, two hundred and sixty =  answer = -8260 
minus two thousand, six hundred and four =  answer = -2604 
minus one thousand, eight hundred and twenty-eight =  answer = -1828 
minus nine thousand, eight hundred and fifty-six =  answer = -9856 
minus one thousand, two hundred and forty-one =  answer = -1241 
minus two thousand, five hundred and twenty-eight =  answer = -2528 
minus four thousand, eight hundred and seventy-two =  answer = -4872 
minus three thousand, seven hundred and twenty-four =  answer = -3724 
minus seven thousand, six hundred and fifty-eight =  answer = -7658 
minus eight thousand, nine hundred and fifty-six =  answer = -8956 
minus eight thousand, eight hundred and eighty-six =  answer = -8886 
minus four thousand, five hundred and two =  answer = -4502 
minus seven thousand, five hundred and seventy =  answer = -7570 
minus one thousand, nine hundred and sixty =  answer = -1960 
minus three thousand, six hundred and ninety-seven =  answer = -3697 
minus seven thousand, two hundred and nine =  answer = -7209 
minus one thousand and thirty-five =  answer = -1035 
minus seven thousand, three hundred and ninety-six =  answer = -7396 
minus five thousand, three hundred and forty-five =  answer = -5345 
minus eight thousand, four hundred and fifty-four =  answer = -8454 
minus five thousand, six hundred and seventy-three =  answer = -5673 
minus seven thousand, nine hundred and thirty =  answer = -7930 
minus eight thousand, nine hundred and seventy-three =  answer = -8973 
minus three thousand, five hundred and thirty-six =  answer = -3536 
minus four thousand, one hundred and eleven =  answer = -4111 
minus five thousand, eight hundred and sixty-one =  answer = -5861 
minus four thousand, five hundred and sixty-six =  answer = -4566 
minus one thousand, nine hundred and fifty-eight =  answer = -1958 
minus nine thousand, eight hundred and eighty-three =  answer = -9883 
minus one thousand, nine hundred and ninety-eight =  answer = -10998 
minus six thousand, one hundred and thirty-eight =  answer = -6138 
minus one thousand, nine hundred and thirty-six =  answer = -1936 
minus one thousand, eight hundred and twenty-one =  answer = -1821 
minus eight thousand, eight hundred and eleven =  answer = -8811 
minus nine thousand, two hundred and thirty-eight =  answer = -9238 
minus nine thousand, seven hundred and one =  answer = -9701 
minus three thousand, five hundred and seventy-nine =  answer = -3579 
minus one thousand, nine hundred and thirty-one =  answer = -1931 
minus nine thousand, three hundred and twenty =  answer = -9320 
minus two thousand, three hundred and twelve =  answer = -2003 
minus four thousand and forty-four =  answer = -4044 
minus two thousand, one hundred and twenty-two =  answer = -2122 
minus two thousand, one hundred and thirteen =  answer = -2113 
minus four thousand, eight hundred and fifty-three =  answer = -4853 
minus seven thousand, six hundred and fifteen =  answer = -7615 
minus two thousand, nine hundred and sixty-four =  answer = -2964 
minus five thousand and thirty-three =  answer = -5033 
minus one thousand, six hundred and fifty-one =  answer = -1651 
minus two thousand, three hundred and forty-three =  answer = -2343 
minus seven thousand, eight hundred and sixty-eight =  answer = -7868 
minus nine thousand, five hundred and sixty-five =  answer = -9565 
minus six thousand, one hundred and eighty-three =  answer = -6183 
minus five thousand, two hundred and seventy-two =  answer = -5272 
minus four thousand, three hundred and forty-six =  answer = -4346 
minus six thousand, one hundred and forty-seven =  answer = -6147 
minus four thousand, nine hundred and ten =  answer = -4910 
minus five thousand, three hundred and fifty-one =  answer = -5351 
minus seven thousand, four hundred and eighty-four =  answer = -7484 
minus three thousand, one hundred and forty-four =  answer = -3144 
minus five thousand, nine hundred and fifteen =  answer = -5915 
minus eight thousand, four hundred and ninety-one =  answer = -8491 
minus six thousand, one hundred and eighty =  answer = -6180 
minus two thousand, one hundred and eighty-eight =  answer = -2188 
minus one thousand, one hundred and fifty-two =  answer = -1152 
minus eight thousand, five hundred and eight =  answer = -8508 
minus two thousand, six hundred and thirty-eight =  answer = -2638 
minus two thousand, two hundred =  answer = -2200 
minus nine thousand, eight hundred and eight =  answer = -9808 
minus four thousand, four hundred and ninety-two =  answer = -4092 
minus nine thousand, two hundred and eighty-eight =  answer = -9288 
minus three thousand, one hundred and seventy =  answer = -3170 
minus six thousand, seven hundred and eighteen =  answer = -6718 
minus two thousand, one hundred and twenty-seven =  answer = -2127 
minus five thousand and two =  answer = -5002 
minus seven thousand and fifty-four =  answer = -7054 
minus five thousand, six hundred and sixty-nine =  answer = -5669 
minus three thousand, five hundred and eighty-four =  answer = -3584 
minus eight thousand, one hundred and seventy-nine =  answer = -8179 
minus nine thousand, nine hundred =  answer = -9900 
minus five thousand, nine hundred and fifty-six =  answer = -5956 
minus nine thousand, six hundred and sixty-six =  answer = -9666 
minus one thousand, one hundred and twenty-eight =  answer = -10128 
minus five thousand, nine hundred and five =  answer = -5905 
minus two thousand, six hundred and ninety-seven =  answer = -2697 
minus three thousand, two hundred =  answer = -3020 
minus five thousand, three hundred and thirty-three =  answer = -5333 
minus two thousand, eight hundred and ninety-one =  answer = -2891 
minus two thousand, seven hundred and fifty-three =  answer = -2753 
minus three thousand, five hundred and forty-six =  answer = -3546 
minus five thousand, four hundred and sixty-two =  answer = -5462 
minus five thousand, six hundred and sixteen =  answer = -5616 
minus four thousand, four hundred and fifty =  answer = -4450 
minus six thousand, six hundred and seventeen =  answer = -6617 
minus four thousand, three hundred and thirty-five =  answer = -4335 
minus five thousand, three hundred and twenty-five =  answer = -5325 
minus nine thousand, two hundred and eighty =  answer = -9280 
minus nine thousand and four =  answer = -9004 
minus five thousand, one hundred and fourteen =  answer = -5114 
minus one thousand, eight hundred and thirty-two =  answer = -1832 
minus two thousand, five hundred and twelve =  answer = -2512 
minus five thousand, five hundred and thirty-three =  answer = -5533 
minus one thousand, seven hundred and twenty-two =  answer = -1722 
minus one thousand and fifty-eight =  answer = -1058 
minus six thousand, four hundred and sixty-four =  answer = -6464 
minus three thousand, one hundred and forty-three =  answer = -3143 
minus five thousand, two hundred and ninety-one =  answer = -5291 
minus three thousand, six hundred and forty-seven =  answer = -3647 
minus eight thousand, two hundred and thirty-nine =  answer = -8239 
minus eight thousand and seven =  answer = -8007 
minus one thousand, one hundred and fifty-eight =  answer = -10158 
minus two thousand, eight hundred and thirty-two =  answer = -2832 
minus two thousand, two hundred and thirty-two =  answer = -2232 
minus three thousand, four hundred and forty-two =  answer = -3044 
minus nine thousand, nine hundred and thirty-eight =  answer = -9938 
minus one thousand, five hundred and ninety =  answer = -1590 
minus seven thousand and forty-nine =  answer = -7049 
minus three thousand, four hundred and twenty-six =  answer = -30426 
minus eight thousand and forty-one =  answer = -8041 
minus three thousand and eighty-eight =  answer = -3088 
minus one thousand, six hundred and eighty-five =  answer = -1685 
minus six thousand and fifty =  answer = -6050 
minus six thousand, nine hundred and seventy-four =  answer = -6974 
minus one thousand, six hundred and fifty-three =  answer = -1653 
minus six thousand, eight hundred and sixty-two =  answer = -6862 
minus four thousand, four hundred and forty-one =  answer = -4044 
minus ninety-nine thousand, three hundred and ninety-nine =  answer = -99000399 
minus forty-two thousand, seven hundred and six =  answer = -42706 
minus ninety-seven thousand, four hundred and sixteen =  answer = -970416 
minus twenty-three thousand, four hundred and seventy-three =  answer = -230473 
minus fifty-six thousand, three hundred and fifty-seven =  answer = -56,357 
minus eighty-three thousand, three hundred and eighty-five =  answer = -830385 
minus sixty-three thousand, two hundred and sixty-four =  answer = -63264 
minus ninety-one thousand, three hundred and fifty-one =  answer = -910351 
minus thirty thousand, two hundred and fifty-seven =  answer = -30,257 
minus forty-one thousand and twenty-nine =  answer = -41029 
minus thirty-one thousand, two hundred and ninety-nine =  answer = -310299 
minus thirty-three thousand, two hundred and six =  answer = -33026 
minus sixty-four thousand and forty =  answer = -64040 
minus thirteen thousand, two hundred and forty-eight =  answer = -130248 
minus thirty-three thousand, five hundred and nine =  answer = -33059 
minus fifty-three thousand, five hundred and forty =  answer = -53,540 
minus sixty-three thousand, nine hundred and sixty-four =  answer = -630964 
minus ninety-seven thousand, eight hundred and six =  answer = -97086 
minus forty-two thousand, five hundred and twenty-seven =  answer = -42527 
minus forty-four thousand, nine hundred and seventy =  answer = -4400970 
minus thirty thousand, eight hundred and sixty-six =  answer = -30,866 
minus twenty-four thousand, one hundred and sixty-eight =  answer = -240168 
minus sixty thousand, one hundred and forty =  answer = -60,140 
minus fifteen thousand and seventy-five =  answer = -15075 
minus seventy-one thousand, six hundred and ninety-four =  answer = -71694 
minus thirty-nine thousand, one hundred and fifty-four =  answer = -390154 
minus thirty-six thousand, one hundred and fifty-eight =  answer = -360158 
minus seventy thousand, three hundred and thirty-two =  answer = -70,332 
minus fifty-five thousand, eight hundred and thirty =  answer = -55830 
minus fifty thousand and one =  answer = -50001 
minus thirty-nine thousand, eight hundred and thirty-one =  answer = -390831 
minus thirty-nine thousand, two hundred and nineteen =  answer = -39219 
minus thirteen thousand, one hundred and one =  answer = -13001 
minus ninety-six thousand, five hundred and eleven =  answer = -96511 
minus thirty-five thousand, three hundred and thirteen =  answer = -3500313 
minus sixty-two thousand, two hundred and twenty-seven =  answer = -62,022.27 
minus fifty-three thousand and twenty-five =  answer = -53025 
minus forty-six thousand, five hundred and seventeen =  answer = -46517 
minus nineteen thousand and ninety-nine =  answer = -19000 - 99 = -18901 
minus forty-six thousand, five hundred and eighty-five =  answer = -46585 
minus fifty-six thousand and twenty-five =  answer = -56025 
minus ninety-four thousand and eighty =  answer = -94080 
minus seventy-six thousand, seven hundred and sixty-eight =  answer = -76768 
minus sixty-two thousand, three hundred and eighty-six =  answer = -62,386 
minus ninety-nine thousand and sixty-five =  answer = -99065 
minus eighty thousand, two hundred and eighty-two =  answer = -80,282 
minus fifty-three thousand, four hundred and four =  answer = -53044 
minus thirteen thousand, six hundred and seventeen =  answer = -13,676 
minus twenty-five thousand, one hundred and eighteen =  answer = -25,118 
minus forty-four thousand, two hundred and thirty-seven =  answer = -44237 
minus thirty-three thousand, four hundred and five =  answer = -33045 
minus eighty-six thousand and ninety-nine =  answer = -860099 
minus forty-four thousand, seven hundred and ninety-five =  answer = -44795 
minus fifteen thousand and fourteen =  answer = -15044 
minus twenty-four thousand, two hundred and eight =  answer = -24,208 
minus eighty-eight thousand, one hundred and ninety-three =  answer = -88193 
minus sixty-six thousand, nine hundred and fifty-nine =  answer = -66959 
minus fifty-five thousand, three hundred and nine =  answer = -55003 
minus fifty-one thousand, one hundred and fourteen =  answer = -51,014 
minus sixty-seven thousand, one hundred and ninety-nine =  answer = -67,199 
minus eighty-nine thousand, four hundred and fifty-seven =  answer = -89457 
minus seventy-seven thousand and thirty-three =  answer = -770033 
minus twenty-five thousand, one hundred and fifty-seven =  answer = -250157 
minus sixty thousand, four hundred and eighty-eight =  answer = -60,488 
minus eighty-five thousand, five hundred and seventy-four =  answer = -8500574 
minus thirty-four thousand, nine hundred and fourteen =  answer = -34914 
minus forty-three thousand, three hundred and eighty-six =  answer = -43086 
minus fifteen thousand, eight hundred and seventeen =  answer = -15807 
minus sixty-seven thousand, one hundred and fifty-four =  answer = -67,154 
minus ten thousand, two hundred and twenty-one =  answer = -10221 
minus seventy-eight thousand, one hundred and forty-six =  answer = -78146 
minus eighty thousand, five hundred and seventy-five =  answer = -80575 
minus ninety-seven thousand, nine hundred =  answer = -97,900 
minus thirty-five thousand, eight hundred and twenty-five =  answer = -350825 
minus fifty-seven thousand, seven hundred and thirty-nine =  answer = -5700739 
minus sixty-six thousand, five hundred and thirty-one =  answer = -66531 
minus nineteen thousand, one hundred and seventy-one =  answer = -190171 
minus ninety-seven thousand and sixty-two =  answer = -97062 
minus fifty-three thousand, two hundred and seventy-nine =  answer = -53,279 
minus ninety-one thousand, six hundred and seventy-eight =  answer = -910678 
minus fifty-one thousand, one hundred and forty-five =  answer = -51,014.5 
minus ninety-six thousand, nine hundred and fifty-one =  answer = -96,951 
minus twenty-six thousand, three hundred and thirty-four =  answer = -26,334 
minus forty-nine thousand, three hundred and sixty-three =  answer = -49000 + 363 = -48637 
minus seventy-six thousand, four hundred and sixty-nine =  answer = -76469 
minus fifty thousand, five hundred and thirty-eight =  answer = -50,538 
minus ninety-seven thousand, four hundred and ten =  answer = -970410 
minus sixty-three thousand, five hundred and twenty-eight =  answer = -63528 
minus fifty-two thousand, seven hundred and fifty-three =  answer = -52753 
minus sixty-two thousand, seven hundred and forty-three =  answer = -62743 
minus forty-eight thousand, seven hundred and fifty-two =  answer = -48752 
minus eighty-two thousand, six hundred and sixty-seven =  answer = -82667 
minus twenty-six thousand, six hundred and eighty-three =  answer = -26,683 
minus thirty-five thousand, one hundred and forty-four =  answer = -350144 
minus sixty-five thousand, one hundred and eight =  answer = -65,108 
minus ninety-seven thousand, one hundred and fifty-three =  answer = -97153 
minus fifty-nine thousand, six hundred and ninety-five =  answer = -590695 
minus ninety-eight thousand, seven hundred and seventy-seven =  answer = -98770 
