zero =  answer = 0 
seventy-nine =  answer = 79 
eighty =  answer = 80 
eighty-one =  answer = 81 
eighty-two =  answer = 82 
eighty-three =  answer = 83 
eighty-four =  answer = 84 
eighty-five =  answer = 85 
eighty-six =  answer = 86 
eighty-seven =  answer = 87 
eighty-eight =  answer = 88 
eighty-nine =  answer = 89 
ninety =  answer = 90 
ninety-one =  answer = 91 
ninety-two =  answer = 92 
ninety-three =  answer = 93 
ninety-four =  answer = 94 
ninety-five =  answer = 95 
ninety-six =  answer = 96 
ninety-seven =  answer = 97 
ninety-eight =  answer = 98 
ninety-nine =  answer = 99 
two hundred and sixty-eight =  answer = 268 
five hundred and twenty-eight =  answer = 528 
eight hundred and six =  answer = 860 
seven hundred and fifty =  answer = 750 
three hundred and eighty-eight =  answer = 388 
five hundred and ninety =  answer = 590 
nine hundred and sixty-three =  answer = 963 
three hundred and twenty-one =  answer = 321 
nine hundred and eleven =  answer = 911 
five hundred and eighty-six =  answer = 586 
nine hundred and twenty-seven =  answer = 927 
six hundred and twenty-four =  answer = 624 
two hundred and eighty-seven =  answer = 287 
six hundred and seventeen =  answer = 617 
six hundred and forty =  answer = 640 
three hundred and forty-one =  answer = 341 
nine hundred and seven =  answer = 970 
one hundred and three =  answer = 103 
one hundred and fourteen =  answer = 114 
four hundred and seventy-nine =  answer = 479 
six hundred and ninety-nine =  answer = 699 
five hundred and thirty-eight =  answer = 538 
one hundred and seventy =  answer = 170 
two hundred and forty-eight =  answer = 248 
nine hundred and twelve =  answer = 912 
eight hundred and sixty-nine =  answer = 869 
three hundred and thirty-seven =  answer = 337 
three hundred and thirty-eight =  answer = 380 
eight hundred and ten =  answer = 810 
one hundred and forty-three =  answer = 143 
five hundred and forty-seven =  answer = 547 
eight hundred and fifty-six =  answer = 856 
eight hundred and eighty-nine =  answer = 889 
nine hundred and ninety-six =  answer = 996 
five hundred and sixteen =  answer = 516 
seven hundred and thirty =  answer = 730 
five hundred and fifty-two =  answer = 552 
one hundred and thirty-four =  answer = 134 
four hundred and thirty-six =  answer = 436 
six hundred and fifty-three =  answer = 653 
six hundred and nine =  answer = 609 
two hundred and eighteen =  answer = 218 
seven hundred and sixty-four =  answer = 764 
four hundred and seventy-seven =  answer = 477 
one hundred and twenty-three =  answer = 123 
two hundred and fifty-eight =  answer = 258 
eight hundred and fifty-eight =  answer = 858 
nine hundred and thirty-seven =  answer = 937 
one hundred and ninety =  answer = 190 
two hundred and twenty-seven =  answer = 227 
nine hundred and twenty-eight =  answer = 928 
one hundred and twenty =  answer = 120 
five hundred and sixty-four =  answer = 564 
two hundred and sixty-four =  answer = 264 
six hundred and sixty-five =  answer = 665 
eight hundred and forty-five =  answer = 845 
four hundred and fifty-one =  answer = 451 
five hundred and ten =  answer = 510 
five hundred and ninety-six =  answer = 596 
two hundred and fifty-four =  answer = 254 
two hundred and ninety-one =  answer = 291 
seven hundred and eighty-one =  answer = 781 
one hundred and thirty-eight =  answer = 138 
five hundred and eighty-one =  answer = 581 
nine hundred and eighty-six =  answer = 986 
nine hundred and thirty-nine =  answer = 939 
three hundred and forty =  answer = 340 
one hundred and seventy-six =  answer = 176 
eight hundred and ninety-eight =  answer = 898 
three hundred and two =  answer = 302 
three hundred and thirteen =  answer = 1300 
seven hundred and eighty-nine =  answer = 789 
nine hundred and twenty-two =  answer = 922 
seven hundred and seventy-three =  answer = 773 
eight hundred and seventy-two =  answer = 872 
eight hundred and eighty-one =  answer = 881 
six hundred and ninety-four =  answer = 694 
eight hundred and forty-seven =  answer = 847 
one hundred and seventy-two =  answer = 172 
two hundred and twenty-five =  answer = 225 
six hundred and seventy-three =  answer = 673 
five hundred and eighty-seven =  answer = 587 
six hundred and seventy-two =  answer = 672 
nine hundred and forty-six =  answer = 946 
four hundred and ninety-seven =  answer = Paintballs(497) 
three hundred and five =  answer = 305 
four hundred and forty-nine =  answer = 449 
two hundred and forty-nine =  answer = 249 
six hundred and forty-eight =  answer = 648 
five hundred and nineteen =  answer = 519 
three hundred and ninety-eight =  answer = 398 
four hundred and seventy-three =  answer = 473 
five hundred and sixty-two =  answer = 562 
six hundred and thirteen =  answer = 613 
four hundred and ninety-five =  answer = 495 
four hundred and twenty-five =  answer = 425 
three hundred and seventy-two =  answer = 372 
one hundred and twenty-seven =  answer = 127 
nine hundred and fifty-four =  answer = 954 
one hundred and ninety-five =  answer = 195 
two hundred and sixty-two =  answer = 262 
eight hundred and thirty-five =  answer = 835 
eight hundred and thirty-three =  answer = 833 
six hundred and seven =  answer = 607 
one hundred and two =  answer = 102 
six hundred and three =  answer = 603 
one hundred and seventy-one =  answer = 171 
six hundred and sixty-three =  answer = 663 
seven hundred and thirteen =  answer = 713 
eight hundred and sixty-six =  answer = 866 
six hundred and thirty-four =  answer = 634 
three hundred and twenty-seven =  answer = 327 
six hundred and eighty-five =  answer = 685 
seven hundred and twenty-three =  answer = 723 
four hundred and twenty-six =  answer = 426 
six hundred and sixty-nine =  answer = 669 
seven hundred and thirty-seven =  answer = 737 
two hundred and fifteen =  answer = 215 
two hundred and eighty-five =  answer = 285 
seven hundred and eighty-five =  answer = 785 
two hundred and seventy-four =  answer = 274 
seven hundred and forty-one =  answer = 741 
four hundred and fifty-six =  answer = 456 
nine hundred and fifty-three =  answer = 953 
four hundred and forty =  answer = 440 
four hundred and fifty-four =  answer = 454 
eight hundred and eighty =  answer = 880 
seven hundred and eleven =  answer = 711 
four hundred and thirteen =  answer = 413 
three hundred and fifty-one =  answer = 351 
two hundred and five =  answer = 205 
two hundred and seventy-two =  answer = 272 
one hundred and sixty-seven =  answer = 167 
nine hundred and thirty-three =  answer = 933 
two hundred and seventy-eight =  answer = 278 
eight hundred and ninety-five =  answer = 895 
five hundred and thirty-nine =  answer = 539 
four hundred and eighty-three =  answer = 483 
two hundred and sixty-three =  answer = 263 
seven hundred and ninety-nine =  answer = 799 
one hundred and thirty-seven =  answer = 137 
seven hundred and ninety-two =  answer = 792 
six hundred and thirty-two =  answer = 632 
three hundred and forty-seven =  answer = 347 
two hundred and sixty-seven =  answer = 267 
eight hundred and fifty-nine =  answer = 859 
seven hundred and four =  answer = 704 
six hundred and two =  answer = 602 
six hundred and eighteen =  answer = 618 
four hundred and eighty-four =  answer = 484 
seven hundred and eighty-two =  answer = 782 
three hundred and fifty-three =  answer = 353 
nine hundred and ninety-seven =  answer = 997 
two hundred and sixty-six =  answer = 266 
six hundred and seventy-five =  answer = 675 
five hundred and forty-nine =  answer = 549 
nine hundred and twenty-four =  answer = 924 
five hundred and seventeen =  answer = 517 
eight hundred and ninety-two =  answer = 892 
five hundred and ninety-four =  answer = 594 
one hundred and fifty-eight =  answer = 158 
nine hundred and fifty-seven =  answer = 957 
three hundred and ninety-four =  answer = 394 
one hundred and fifty-three =  answer = 153 
nine hundred and seventy-three =  answer = 973 
three hundred and sixty-four =  answer = 364 
seven hundred and seventy-four =  answer = 774 
three hundred and ninety-six =  answer = 396 
one hundred and thirty-five =  answer = 135 
five hundred and twenty-nine =  answer = 529 
three hundred and fifty-four =  answer = 354 
five hundred and three =  answer = 503 
nine hundred and ninety-one =  answer = 991 
four hundred and forty-six =  answer = 446 
seven hundred and sixty =  answer = 760 
eight hundred and sixty-three =  answer = 863 
one hundred and fifty =  answer = 150 
three hundred and fifty-eight =  answer = 358 
two hundred and forty-two =  answer = 242 
seven hundred and sixty-five =  answer = 765 
six hundred and thirty-eight =  answer = 638 
eight hundred and forty-six =  answer = 846 
one hundred and twenty-eight =  answer = 128 
three hundred and seventeen =  answer = 317 
nine hundred and fifty-eight =  answer = 958 
four hundred and seventy-four =  answer = 474 
nine hundred and fourteen =  answer = 914 
two hundred and fifty-seven =  answer = 257 
seven hundred and fifteen =  answer = 715 
eight hundred and ninety-one =  answer = 891 
five hundred and thirty-six =  answer = 536 
six hundred and ninety-five =  answer = 695 
nine hundred and sixty-nine =  answer = 969 
five hundred and eighty-eight =  answer = 588 
four hundred and fifteen =  answer = 415 
six hundred and forty-seven =  answer = 647 
seven hundred and two =  answer = 702 
three hundred and eighty-two =  answer = 382 
eight hundred and eighty-six =  answer = 886 
eight hundred and thirty-eight =  answer = 838 
one thousand, one hundred and sixty-seven =  answer = 1167 
seven thousand, two hundred and sixty-four =  answer = 7264 
three thousand and sixty-two =  answer = 3062 
one thousand, three hundred and eighty-five =  answer = 1385 
five thousand, three hundred and thirty-two =  answer = 5332 
six thousand, three hundred and forty-three =  answer = 6343 
five thousand and ninety-two =  answer = 5092 
seven thousand, eight hundred and ninety-nine =  answer = 7899 
five thousand, two hundred and thirteen =  answer = 5213 
seven thousand, six hundred and forty-five =  answer = 7645 
three thousand, two hundred and sixty-nine =  answer = 3269 
three thousand, one hundred and eighty-seven =  answer = 3187 
three thousand, three hundred and twenty-five =  answer = 30325 
two thousand, five hundred and fifty-three =  answer = 2553 
seven thousand, five hundred and three =  answer = 7503 
two thousand, five hundred and thirty-nine =  answer = 2539 
four thousand and fifty-eight =  answer = 4058 
one thousand, four hundred and fourteen =  answer = 1404 
eight thousand, three hundred and twenty-one =  answer = 8321 
three thousand, three hundred and seven =  answer = 3007 
two thousand, one hundred and seventy-seven =  answer = 2177 
two thousand, nine hundred and fifty =  answer = 2950 
five thousand, six hundred and nine =  answer = 5609 
three thousand and seventy-three =  answer = 3073 
five thousand, nine hundred and eighty-one =  answer = 5981 
nine thousand, eight hundred and twenty-five =  answer = 9825 
six thousand, three hundred and twelve =  answer = 6312 
seven thousand, four hundred and ninety-two =  answer = 7492 
nine thousand and ninety-one =  answer = 9091 
four thousand, five hundred and ninety-eight =  answer = 4598 
three thousand, seven hundred and twenty-one =  answer = 3721 
three thousand, nine hundred and seventy-four =  answer = 3974 
four thousand and thirteen =  answer = 4130 
seven thousand, one hundred and ninety =  answer = 7190 
four thousand, three hundred and three =  answer = 4303 
one thousand, seven hundred and fifty-six =  answer = 1756 
nine thousand, two hundred and seventy-one =  answer = 9271 
one thousand, nine hundred and twenty-eight =  answer = 1928 
one thousand, one hundred and twenty-eight =  answer = 1128 
seven thousand, three hundred and fifty-one =  answer = 7351 
eight thousand, six hundred =  answer = 8600 
two thousand and forty =  answer = 2040 
seven thousand, five hundred and nineteen =  answer = 7519 
three thousand, eight hundred and seventy-two =  answer = 3872 
four thousand, eight hundred and twenty-two =  answer = 4822 
five thousand, one hundred and forty-three =  answer = 5143 
six thousand, one hundred and thirty-eight =  answer = 6138 
one thousand, six hundred and eighty-six =  answer = 1686 
five thousand and nine =  answer = 509 
seven thousand, three hundred and seventy-one =  answer = 7371 
three thousand, five hundred and fifty-eight =  answer = 3558 
six thousand and sixty-nine =  answer = 6069 
five thousand, eight hundred and thirty-three =  answer = 5833 
nine thousand, two hundred and forty-three =  answer = 9243 
ten thousand =  answer = 10000 
nine thousand and twenty-nine =  answer = 9029 
two thousand, six hundred and fourteen =  answer = 20614 
nine thousand, nine hundred and thirty-six =  answer = 99936 
one thousand, nine hundred and eighty-three =  answer = 1983 
nine thousand, three hundred and twenty-six =  answer = 9326 
six thousand, three hundred and seven =  answer = 6307 
nine thousand, four hundred and sixty-eight =  answer = 9468 
six thousand and eighty-one =  answer = 6081 
five thousand, seven hundred and seventy-seven =  answer = 5777 
nine thousand, six hundred and fourteen =  answer = 9614 
four thousand, one hundred and five =  answer = 4105 
two thousand and forty-four =  answer = 2044 
six thousand, three hundred and thirty-six =  answer = 6336 
four thousand, two hundred and ninety-eight =  answer = 4298 
six thousand, eight hundred and twenty =  answer = 6820 
two thousand and seventy =  answer = 2070 
six thousand, two hundred and eleven =  answer = 6211 
seven thousand, eight hundred and eighty-five =  answer = 7885 
two thousand, seven hundred and sixty-three =  answer = 2763 
two thousand, two hundred and forty-six =  answer = 20246 
two thousand, two hundred and one =  answer = 2001 
eight thousand, three hundred and forty =  answer = 8340 
nine thousand, two hundred and seventy-four =  answer = 9274 
one thousand, three hundred and twenty-four =  answer = 1324 
eight thousand, two hundred and fifty-two =  answer = 8252 
eight thousand, seven hundred and fourteen =  answer = 8741 
nine thousand, four hundred and seventy-seven =  answer = 9477 
nine thousand, four hundred and five =  answer = 9405 
seven thousand, three hundred and seventy-nine =  answer = 7379 
seven thousand, five hundred and seventy-eight =  answer = 7578 
two thousand, one hundred and fifty-two =  answer = 2152 
four thousand, six hundred and ninety-four =  answer = 4694 
one thousand, four hundred and eight =  answer = 1408 
one thousand, seven hundred and ninety-nine =  answer = 1799 
eight thousand, one hundred and nine =  answer = 8109 
one thousand, six hundred and eighty-eight =  answer = 1688 
five thousand and forty-seven =  answer = 5047 
five thousand, five hundred and fifteen =  answer = 5515 
seven thousand, six hundred and twenty-eight =  answer = 7628 
seven thousand, nine hundred and ninety-six =  answer = 7996 
eight thousand, four hundred and seventy =  answer = 8470 
four thousand, eight hundred and seventy-three =  answer = 4873 
seven thousand, five hundred and thirty-six =  answer = 7536 
seven thousand, three hundred and fourteen =  answer = 7314 
six thousand, three hundred and sixty-five =  answer = 6365 
eight thousand, nine hundred and seventy-five =  answer = 8975 
four thousand, seven hundred and thirty-two =  answer = 4732 
two thousand, three hundred and ninety-nine =  answer = 20399 
one thousand, six hundred and thirteen =  answer = 1613 
eight thousand, eight hundred and fifty-nine =  answer = 8859 
three thousand, eight hundred and thirty-one =  answer = 30831 
nine thousand and fifty-nine =  answer = 9059 
seven thousand, one hundred and eleven =  answer = 7111 
four thousand, five hundred and thirty-seven =  answer = 4537 
eight thousand, three hundred and sixty-eight =  answer = 8368 
five thousand, two hundred and ninety-five =  answer = 5295 
five thousand and nineteen =  answer = 5091 
eight thousand, eight hundred and eighty-three =  answer = 8883 
nine thousand, one hundred and seventy =  answer = 9170 
seven thousand, three hundred and twenty-three =  answer = 7323 
six thousand and twelve =  answer = 6012 
seven thousand, two hundred and fifty-six =  answer = 7256 
nine thousand, five hundred and eighty-nine =  answer = 9589 
one thousand, one hundred and four =  answer = 1014 
three thousand, six hundred and fifty-two =  answer = 3652 
six thousand, one hundred and twenty-one =  answer = 6121 
four thousand, three hundred and ten =  answer = 4310 
six thousand, one hundred and seven =  answer = 6107 
seven thousand, four hundred and nine =  answer = 7409 
three thousand, three hundred and eighty-two =  answer = 3082 
two thousand, four hundred and eighty-five =  answer = 2485 
two thousand, three hundred and two =  answer = 2003 
nine thousand, five hundred and fifty-eight =  answer = 9558 
five thousand, nine hundred and fifty-seven =  answer = 5957 
seven thousand, one hundred and fifty =  answer = 7150 
eight thousand, five hundred and seventy-five =  answer = 8575 
two thousand, seven hundred and seventy-three =  answer = 2773 
three thousand, seven hundred and twenty-six =  answer = 3726 
eight thousand and ninety-eight =  answer = 8908 
four thousand, three hundred and seventy-two =  answer = 4372 
six thousand, four hundred and ninety-three =  answer = 6493 
seven thousand and ninety-four =  answer = 7094 
four thousand and ninety-three =  answer = 4093 
five thousand, two hundred and seventy-four =  answer = 5274 
two thousand, three hundred and forty-three =  answer = 200343 
one thousand, four hundred and sixty-eight =  answer = 1468 
six thousand, two hundred and seventy-seven =  answer = 6277 
nine thousand, four hundred and thirty-two =  answer = 9432 
five thousand, one hundred and sixty-five =  answer = 5165 
three thousand, five hundred and thirteen =  answer = 3513 
nine thousand, three hundred and seven =  answer = 9307 
four thousand, two hundred and seventy-four =  answer = 4274 
four thousand, nine hundred and five =  answer = 4905 
five thousand, five hundred and forty-five =  answer = 5545 
seven thousand, two hundred and nine =  answer = 7209 
three thousand, five hundred and seventy-four =  answer = 3574 
seven thousand, four hundred and thirty-three =  answer = 7433 
eight thousand, six hundred and fifty =  answer = 8650 
seven thousand, five hundred and eighty-one =  answer = 7581 
eight thousand, one hundred and fifty-seven =  answer = 8157 
eight thousand, five hundred and forty-eight =  answer = 8548 
five thousand, five hundred and ninety-seven =  answer = 5597 
three thousand, eight hundred and fifty-six =  answer = 3856 
seven thousand, three hundred and one =  answer = 7301 
five thousand, four hundred and sixty-three =  answer = 5463 
two thousand, six hundred and twenty-one =  answer = 2621 
four thousand and eighty-seven =  answer = 4087 
four thousand, five hundred and twenty-five =  answer = 4525 
one thousand, five hundred and sixty-three =  answer = 1563 
six thousand, seven hundred and forty-four =  answer = 6744 
seven thousand and twenty-four =  answer = 7024 
one thousand, three hundred and eleven =  answer = 1311 
two thousand, two hundred and twenty-six =  answer = 2026 
nine thousand, two hundred and eleven =  answer = 9211 
one thousand, six hundred and forty-three =  answer = 1643 
seven thousand, five hundred and twenty-three =  answer = 7523 
eight thousand, two hundred and twenty-nine =  answer = 8229 
eight thousand, three hundred and sixty-six =  answer = 8366 
four thousand, nine hundred and thirty-five =  answer = 4935 
one thousand, one hundred and twenty-four =  answer = 1124 
nine thousand, nine hundred and nineteen =  answer = 9991 
three thousand, four hundred and twenty-two =  answer = 3422 
two thousand, five hundred and forty-eight =  answer = 2548 
six thousand and sixty-two =  answer = 6062 
four thousand, one hundred and seventeen =  answer = 4170 
eight thousand, four hundred and forty =  answer = 8440 
seven thousand and seventy-one =  answer = 7071 
one thousand and forty-nine =  answer = 1049 
seven thousand and sixty-two =  answer = 7062 
three thousand, seven hundred and twenty-three =  answer = 3723 
three thousand, two hundred and eleven =  answer = 3211 
eight thousand and eighty =  answer = 8088 
nine thousand, six hundred and seventy-three =  answer = 9673 
one thousand, eight hundred and five =  answer = 1805 
six thousand and fifty-six =  answer = 6056 
four thousand and seventy-three =  answer = 4073 
seven thousand, eight hundred and thirty-four =  answer = 7834 
seven thousand, six hundred and two =  answer = 7602 
five thousand and two =  answer = 5002 
four thousand, six hundred and eighty-eight =  answer = 4688 
eight thousand, six hundred and sixty-three =  answer = 8663 
one thousand, two hundred and eighty-eight =  answer = 1288 
two thousand, one hundred and ninety-six =  answer = 2196 
two thousand, three hundred and seventeen =  answer = 2003 
eight thousand, one hundred and thirty-nine =  answer = 8139 
ninety-six thousand, two hundred and fifty-six =  answer = 96256 
thirty-four thousand, six hundred and eighty =  answer = 34680 
twenty-nine thousand, nine hundred and thirty-six =  answer = 290936 
seventeen thousand, eight hundred and seventeen =  answer = 17807 
seventy-five thousand, one hundred and eighty-nine =  answer = 75189 
seventy-nine thousand and seventeen =  answer = ? 
eighty-nine thousand, four hundred and ninety-seven =  answer = 89497 
eighty thousand, one hundred and ninety-six =  answer = 80196 
ninety-one thousand, three hundred and one =  answer = 91001 
seventy-four thousand, four hundred and seven =  answer = 74007 
seventy-one thousand, seven hundred and forty-nine =  answer = 710749 
ninety-nine thousand and twenty-seven =  answer = 99027 
ninety-eight thousand, six hundred and twenty =  answer = 98620 
fifty-four thousand, three hundred and one =  answer = 54001 
thirty thousand and fifteen =  answer = 30015 
forty-five thousand, three hundred and fifty-three =  answer = 4500353 
thirty thousand, one hundred and fifteen =  answer = 30115 
fifty-six thousand, two hundred and eighty-four =  answer = 56284 
forty-seven thousand, seven hundred and forty-five =  answer = 470745 
forty-nine thousand and fifty-seven =  What is forty-nine?
ninety-three thousand, eight hundred and eighty-two =  answer = 93882 
ninety-two thousand, one hundred and ninety-six =  answer = 92196 
eleven thousand, two hundred and eleven =  answer = 112011 
nineteen thousand, three hundred and eight =  answer = 19083 
ninety-seven thousand, five hundred and seventy-nine =  answer = 97579 
eighteen thousand, eight hundred and sixty-four =  answer = 180864 
thirty-four thousand, four hundred and twenty-four =  answer = 34000 + 400 + 24 = 34424 
seventy-seven thousand and seventy-six =  What is seventy-seven?
twenty-two thousand, eight hundred and sixty-five =  answer = 22865 
ninety-eight thousand, eight hundred and sixty-eight =  answer = 98868 
thirty-four thousand, eight hundred and seventy-five =  answer = 34875 
fifty-seven thousand, two hundred and ten =  answer = 57210 
forty-five thousand, three hundred and seventy =  answer = 45000 + 300 + 70 = 48070 
fifty-six thousand, one hundred and eighty-five =  answer = 56185 
seventeen thousand, seven hundred and one =  answer = 17001 
thirty-one thousand, two hundred and forty-six =  answer = 310246 
fourteen thousand, eight hundred and sixty-nine =  answer = 14869 
eighty-six thousand, seven hundred and thirteen =  answer = 86713 
seventy-four thousand, eight hundred and eighty-eight =  answer = 74888 
forty-six thousand and seventy-seven =  Answer = 46707 
ninety-nine thousand, two hundred and twenty-eight =  answer = 99228 
ninety-five thousand, six hundred and twelve =  answer = 95612 
sixty-two thousand, three hundred and fifty-nine =  answer = 620359 
thirty thousand, seven hundred and thirty-three =  answer = 30733 
fourteen thousand, two hundred and fifty-one =  answer = 14251 
twenty-three thousand, six hundred and forty-five =  answer = 23645 
forty thousand, four hundred and ninety-seven =  answer = 400497 
fifty-seven thousand and one =  answer = ? 
eighty thousand, five hundred and eighty-nine =  answer = 80589 
forty-two thousand, eight hundred and twenty-five =  answer = 420825 
sixty-three thousand, five hundred and thirty-two =  answer = 63532 
thirty-six thousand and seventy-nine =  answer = 36790 
thirty-five thousand, three hundred and sixty-six =  answer = 350366 
seventy-eight thousand, seven hundred and fifty-seven =  answer = 787557 
sixty-five thousand, five hundred and five =  answer = 65005 
twenty thousand, two hundred and sixty-four =  answer = 200264 
fifty-two thousand, five hundred and forty-five =  answer = 520545 
thirty-eight thousand, seven hundred and thirteen =  answer = 38713 
thirty-eight thousand and twelve =  answer = 38012 
seventy-five thousand, eight hundred and ninety-nine =  answer = 75899 
fifteen thousand, three hundred and five =  answer = 15035 
fifty-six thousand, one hundred and seventy-three =  answer = 56173 
eighty-nine thousand, five hundred and eighteen =  answer = 89518 
seventy-nine thousand, eight hundred and two =  answer = 79802 
ninety-two thousand, nine hundred and sixty-nine =  answer = 920969 
ninety-two thousand, three hundred and forty-two =  answer = 920342 
ninety-four thousand, two hundred and twenty-four =  answer = 94224 
thirty-two thousand, eight hundred and eighteen =  answer = 32818 
twelve thousand, seven hundred and fifty-eight =  answer = 12758 
fifty-eight thousand, two hundred and ninety-nine =  answer = 58299 
seventy-four thousand, seven hundred and twenty-four =  answer = 740724 
seventy-two thousand, seven hundred and sixteen =  answer = 720716 
thirty-one thousand, two hundred and thirty-five =  answer = 31235 
sixty-seven thousand, eight hundred and sixty-six =  answer = 67866 
twelve thousand, four hundred and sixty-seven =  answer = 12467 
forty-six thousand, six hundred and forty-three =  answer = 460643 
ninety-nine thousand and sixty =  answer = 99060 
seventeen thousand, two hundred and ninety-five =  answer = 17295 
thirty-eight thousand, four hundred and eighty-three =  answer = 384083 
ninety-nine thousand, two hundred and fifty =  answer = 99250 
ninety-four thousand, nine hundred and fifteen =  answer = 94915 
ninety thousand, seven hundred and thirty-eight =  answer = 90738 
seventy-nine thousand, eight hundred and ninety-four =  answer = 79894 
eighty-nine thousand, one hundred and fourteen =  answer = 89104 
twenty-four thousand, six hundred and forty-six =  answer = 24646 
fifty thousand, six hundred and eighty-eight =  answer = 50688 
sixty-one thousand, one hundred and thirty-seven =  answer = 610137 
thirty-seven thousand, five hundred and forty-four =  answer = 37544 
seventy thousand, eight hundred and twenty-four =  answer = 70824 
fifty-eight thousand and ninety-nine =  answer = 58099 
eleven thousand, four hundred and seventy-three =  answer = 11473 
fifty-six thousand, one hundred and twenty-six =  answer = 56126 
thirty-two thousand, seven hundred and twenty-one =  answer = 32721 
ninety thousand, four hundred and twenty-five =  answer = 90425 
forty-four thousand, seven hundred and fifty-five =  answer = 44755 
eighty-nine thousand, five hundred and eighty-five =  answer = 89585 
thirteen thousand, two hundred and seventy-seven =  answer = 13277 
fifty-nine thousand, three hundred and three =  answer = 59003 
ninety-four thousand, seven hundred and eighty-five =  answer = 94785 
thirty-one thousand, one hundred and sixty-four =  answer = 310164 
thirty-three thousand, eight hundred and ninety-eight =  answer = 330898 
eighty thousand, two hundred and eighty-four =  answer = 80284 
seventy-five thousand, six hundred and two =  answer = 75602 
sixty-four thousand and seventy-three =  answer = 64073 
thirty-seven thousand, one hundred and nine =  answer = 37019 
thirty-nine thousand, six hundred and sixty-four =  answer = 39664 
seventy-seven thousand, four hundred and fifty-seven =  answer = 770457 
eighty-two thousand, seven hundred and twenty-six =  answer = 82726 
forty-seven thousand, four hundred and eighty-one =  answer = 470481 
sixty-eight thousand, nine hundred and eighty =  answer = 68980 
fifty-seven thousand, four hundred and ninety-five =  answer = 57495 
twenty thousand, eight hundred and fifty-five =  answer = 20855 
forty-one thousand, four hundred and forty =  answer = 41044 
sixty-three thousand, one hundred and fifty-nine =  answer = 630159 
eighty-eight thousand, five hundred and sixty =  answer = 88560 
thirty-three thousand, three hundred and sixty-five =  answer = 330365 
fifty-six thousand, one hundred and twenty-two =  answer = 56122 
eighty thousand, seven hundred and fifty-eight =  answer = 800758 
ninety-eight thousand and sixty-three =  answer = 98063 
fifty-seven thousand, four hundred and seventy-six =  answer = 57476 
eighty-five thousand and ninety-one =  answer = 850991 
twenty-seven thousand, one hundred and seventy-seven =  answer = 27177 
thirteen thousand, five hundred and thirty-eight =  answer = 13538 
sixty-five thousand, four hundred and thirty-six =  answer = 65436 
eighty-six thousand and seventy-eight =  answer = 86078 
thirteen thousand, four hundred and forty-six =  answer = 130446 
ninety-seven thousand, two hundred and twenty =  answer = 97220 
thirty-seven thousand, six hundred and thirty-nine =  answer = 37639 
twenty-four thousand and thirty =  answer = 24030 
thirty-seven thousand, eight hundred and seventy-five =  answer = 370875 
seventy-nine thousand, seven hundred and ninety-six =  answer = 790796 
seventy-eight thousand, five hundred and fifty-four =  answer = 78554 
fifty-eight thousand, five hundred and forty-five =  answer = 58545 
seventy-seven thousand, three hundred and sixty-two =  answer = 770362 
forty-eight thousand, eight hundred and ten =  answer = 480810 
twenty-six thousand, one hundred and one =  answer = 26101 
thirty-one thousand, one hundred and thirteen =  answer = 310113 
forty-one thousand, four hundred and sixty-three =  answer = 410463 
ninety-six thousand, seven hundred and ninety-six =  answer = 96796 
sixty-five thousand, six hundred and eight =  answer = 65608 
ninety thousand, four hundred and twenty-seven =  answer = 90427 
